idx,post_date,logNo,class,name,role,code,code_src,outcome,reason,matched_existing
47,2021-12-09,222590822492,진입,아톤,entry,158430,naver,라벨신규,,
48,2021-12-16,222596821585,진입,하이비젼시스템,entry,126700,naver,라벨신규,,
49,2021-12-17,222597763003,미거래,넥슨지티,notrade,,none,제외,미거래 선언(선별 결과가 부정),
50,2021-12-20,222599973023,진입,한화투자증권,entry,003530,naver,라벨신규,,
52,2022-01-28,222633667340,진입,퍼스텍,entry,010820,naver,라벨신규,,
53,2022-02-04,222638760810,진입,로보로보,entry,215100,naver,라벨신규,,
53,2022-02-04,222638760810,진입,에브리봇,reference,270660,naver,제외,그가 거래한 종목이 아님(참조),
54,2022-02-10,222643957446,진입,제주맥주,entry,,none,라벨신규(미매핑),매핑 실패(네이버 정확일치 없음 — 상폐·사명변경·오타 추정). v4 규약대로 행은 남긴다 — 버린 것도 산출물이다. usable=False,
55,2022-03-23,222680807475,진입,SG&G,entry,040610,naver,라벨신규,,
56,2022-03-31,222687837522,애매,네오오토,ambiguous,212560,naver,제외,애매 — 편입 시 편향 방향 불명(J5),
56,2022-03-31,222687837522,애매,대원전선,ambiguous,006340,naver,제외,애매 — 편입 시 편향 방향 불명(J5),
57,2022-04-04,222691278838,진입,금양,entry,001570,naver,라벨신규,,
58,2022-04-06,222693323543,진입,미투온,entry,201490,naver,라벨신규,,
58,2022-04-06,222693323543,진입,모나미,entry,005360,naver,라벨신규,,
59,2022-04-15,222701492113,진입,일동홀딩스,entry,000230,naver,라벨신규,,
59,2022-04-15,222701492113,진입,KG스틸,entry,016380,naver,라벨신규,,
61,2022-05-12,222729856778,진입,메이슨캐피탈,entry,021880,naver,라벨신규,,
62,2022-05-16,222734548652,진입,태경케미칼,entry,,none,라벨신규(미매핑),매핑 실패(네이버 정확일치 없음 — 상폐·사명변경·오타 추정). v4 규약대로 행은 남긴다 — 버린 것도 산출물이다. usable=False,
63,2022-05-19,222738361284,진입,우림피티에스,entry,101170,naver,라벨신규,,
64,2022-05-19,222738361284,진입,HLB,entry,028300,naver,라벨신규,,
64,2022-05-19,222738361284,진입,한탑,entry,002680,naver,중복(src갱신),"기존 라벨과 (날짜,코드) 일치",한탑
65,2022-05-27,222748984608,진입,성도이엔지,entry,037350,naver,라벨신규,,
65,2022-05-27,222748984608,진입,공구우먼,entry,,none,라벨신규(미매핑),매핑 실패(네이버 정확일치 없음 — 상폐·사명변경·오타 추정). v4 규약대로 행은 남긴다 — 버린 것도 산출물이다. usable=False,
66,2022-06-03,222757672127,진입,큐라클,entry,365270,naver,라벨신규,,
67,2022-06-22,222784041108,진입,HK이노엔,entry,195940,naver,라벨신규,,
68,2022-06-27,222790708465,진입,노터스,entry,,none,라벨신규(미매핑),매핑 실패(네이버 정확일치 없음 — 상폐·사명변경·오타 추정). v4 규약대로 행은 남긴다 — 버린 것도 산출물이다. usable=False,
69,2022-07-07,222803197166,미거래,수젠텍,notrade,253840,naver,제외,미거래 선언(선별 결과가 부정),
69,2022-07-07,222803197166,미거래,포바이포,notrade,389140,naver,제외,미거래 선언(선별 결과가 부정),
70,2022-07-15,222812377159,애매,켐온,ambiguous,,none,제외,애매 — 편입 시 편향 방향 불명(J5),
71,2022-07-21,222822385718,진입,희림,entry,037440,naver,라벨신규,,
72,2022-07-26,222829313069,진입,멕아이씨에스,entry,058110,naver,라벨신규,,
72,2022-07-26,222829313069,진입,매디아나,entry,,none,라벨신규(미매핑),매핑 실패(네이버 정확일치 없음 — 상폐·사명변경·오타 추정). v4 규약대로 행은 남긴다 — 버린 것도 산출물이다. usable=False,
72,2022-07-26,222829313069,진입,솔본,entry,035610,naver,라벨신규,,
73,2022-07-27,222831220825,진입,청담글로벌,entry,362320,naver,라벨신규,,
74,2022-07-29,222833510981,미거래,인포바인,notrade,115310,naver,제외,미거래 선언(선별 결과가 부정),
75,2022-08-01,222836395329,진입,그린케미칼,entry,083420,naver,라벨신규,,
76,2022-08-03,222838364846,진입,켐트로스,entry,220260,naver,라벨신규,,
77,2022-08-04,222839369800,진입,아이원,entry,,none,라벨신규(미매핑),매핑 실패(네이버 정확일치 없음 — 상폐·사명변경·오타 추정). v4 규약대로 행은 남긴다 — 버린 것도 산출물이다. usable=False,
78,2022-08-16,222849665392,진입,금강철강,entry,053260,naver,라벨신규,,
80,2022-08-23,222855780492,진입,한일사료,entry,005860,naver,라벨신규,,
81,2022-08-25,222857853751,진입,네오위즈,entry,095660,naver,라벨신규,,
82,2022-09-15,222875160759,진입,금양,entry,001570,naver,라벨신규,,
83,2022-09-16,222876029024,진입,에코플라스틱,entry,038110,naver,라벨신규,,
84,2022-10-06,222893234021,진입,오토앤,entry,353590,naver,라벨신규,,
85,2022-12-19,222959873229,진입,브이씨,entry,365900,naver,중복(src갱신),"기존 라벨과 (날짜,코드) 일치",브이씨
86,2023-02-06,223006683745,진입,저스템,entry,417840,naver,라벨신규,,
87,2023-02-07,223007995835,진입,디어유,entry,376300,naver,라벨신규,,
88,2023-02-14,223015162238,진입,어보브반도체,entry,102120,naver,라벨신규,,
89,2023-02-17,223018730242,진입,성우하이텍,entry,015750,naver,라벨신규,,
90,2023-02-22,223024093900,진입,가온칩스,entry,399720,naver,라벨신규,,
91,2023-03-22,223052208175,진입,조일알미늄,entry,018470,naver,라벨신규,,
92,2023-03-24,223054455523,진입,한미반도체,entry,042700,naver,라벨신규,,
93,2023-03-27,223056566830,진입,레이크머티리얼,entry,,none,라벨신규(미매핑),매핑 실패(네이버 정확일치 없음 — 상폐·사명변경·오타 추정). v4 규약대로 행은 남긴다 — 버린 것도 산출물이다. usable=False,
94,2023-03-29,223058651280,진입,후성,entry,093370,naver,라벨신규,,
95,2023-03-30,223059969216,진입,제이오,entry,418550,naver,라벨신규,,
96,2023-04-03,223063354928,진입,엔켐,entry,348370,naver,라벨신규,,
97,2023-04-05,223065444657,미거래,인탑스,notrade,049070,naver,제외,미거래 선언(선별 결과가 부정),
98,2023-04-10,223069929356,진입,원준,entry,382840,naver,라벨신규,,
99,2023-04-11,223071130594,진입,주성엔지니어링,entry,036930,naver,라벨신규,,
100,2023-04-12,223072134233,진입,윤성에프엔씨,entry,,none,라벨신규(미매핑),매핑 실패(네이버 정확일치 없음 — 상폐·사명변경·오타 추정). v4 규약대로 행은 남긴다 — 버린 것도 산출물이다. usable=False,
101,2023-04-18,223078010121,진입,윤성에프앤씨,entry,372170,naver,라벨신규,,
102,2023-04-20,223080053095,진입,지아이텍,entry,382480,naver,라벨신규,,
103,2023-04-24,223083382420,진입,KBG,entry,318000,naver,라벨신규,,
104,2023-04-28,223087519492,진입,솔루엠,entry,248070,naver,라벨신규,,
105,2023-05-02,223090981216,미거래,현대무백스,notrade,,none,제외,미거래 선언(선별 결과가 부정),
106,2023-05-10,223098212519,진입,코리아에프티,entry,123410,naver,라벨신규,,
107,2023-05-19,223106203818,진입,케이엔제이,entry,272110,naver,라벨신규,,
108,2023-05-24,223110578843,진입,디와이디,entry,219550,naver,라벨신규,,
109,2023-05-25,223111332819,진입,성문전자,entry,014910,naver,라벨신규,,
110,2023-05-25,223111332819,진입,에코바이오,entry,,none,중복(src갱신),"기존 라벨과 (날짜,이름) 일치 — 코드 없이 병합",에코바이오
111,2023-05-26,223112305690,진입,아비코전자,entry,036010,naver,라벨신규,,
112,2023-06-14,223128646567,진입,대상홀딩스,entry,084690,naver,라벨신규,,
113,2023-06-15,223129420528,진입,넥스트칩,entry,396270,naver,라벨신규,,
114,2023-06-27,223139858152,진입,티로보틱스,entry,117730,naver,라벨신규,,
115,2023-07-04,223146289705,진입,지노믹트리,entry,228760,naver,라벨신규,,
116,2023-07-12,223153762770,진입,TCC스틸,entry,002710,naver,라벨신규,,
117,2023-07-19,223160395091,진입,퓨런티어,entry,370090,naver,라벨신규,,
118,2023-07-21,223162363854,진입,금양,entry,001570,naver,라벨신규,,
119,2023-08-02,223172587423,진입,미래컴퍼니,entry,049950,naver,라벨신규,,
120,2023-08-23,223191077209,진입,솔브레인홀딩스,entry,036830,naver,라벨신규,,
121,2023-08-31,223198495288,진입,포스코DX,entry,022100,naver,라벨신규,,
122,2023-09-15,223212269701,진입,에코바이오,entry,,none,라벨신규(미매핑),매핑 실패(네이버 정확일치 없음 — 상폐·사명변경·오타 추정). v4 규약대로 행은 남긴다 — 버린 것도 산출물이다. usable=False,
123,2023-09-18,223214686687,진입,대동기어,entry,008830,naver,라벨신규,,
124,2023-09-19,223215724209,진입,브이티,entry,018290,naver,라벨신규,,
125,2023-10-05,223228834172,진입,신성델타테크,entry,065350,naver,라벨신규,,
126,2023-10-16,223238096403,진입,엘컴텍,entry,037950,naver,라벨신규,,
127,2023-10-23,223244207485,진입,이글벳,entry,044960,naver,라벨신규,,
128,2023-11-07,223257860083,진입,에스티아이,entry,039440,naver,라벨신규,,
129,2023-11-28,223276882997,진입,멕아이씨,entry,,none,라벨신규(미매핑),매핑 실패(네이버 정확일치 없음 — 상폐·사명변경·오타 추정). v4 규약대로 행은 남긴다 — 버린 것도 산출물이다. usable=False,
130,2023-12-05,223283346876,진입,위더스제약,entry,330350,naver,라벨신규,,
131,2023-12-08,223286485330,진입,유니온,entry,000910,naver,라벨신규,,
132,2023-12-15,223293441601,진입,한화솔루션,entry,009830,naver,라벨신규,,
133,2023-12-20,223298505272,진입,스톤브릿지,entry,,none,라벨신규(미매핑),매핑 실패(네이버 정확일치 없음 — 상폐·사명변경·오타 추정). v4 규약대로 행은 남긴다 — 버린 것도 산출물이다. usable=False,
134,2024-03-07,223375929808,진입,씨씨에스,entry,066790,naver,라벨신규,,
135,2024-03-11,223379690212,진입,화천기계,entry,010660,naver,라벨신규,,
138,2024-05-21,223453339660,진입,대한전선,entry,001440,naver,라벨신규,,
139,2024-05-22,223454783297,진입,와이씨,entry,232140,naver,라벨신규,,
140,2024-05-29,223461983321,진입,지투파워,entry,388050,naver,라벨신규,,
141,2024-06-07,223471929435,진입,우양,entry,103840,naver,라벨신규,,
141,2024-06-07,223471929435,진입,태성,entry,323280,naver,라벨신규,,
142,2024-06-12,223476755407,진입,코오롱글로벌,entry,003070,naver,라벨신규,,
143,2024-06-19,223484218538,진입,삼천당제약,entry,000250,naver,라벨신규,,
144,2024-06-28,223494091539,진입,대한해운,entry,005880,naver,라벨신규,,
145,2024-07-08,223505414276,진입,제룡전기,entry,033100,naver,라벨신규,,
146,2024-07-11,223509020088,진입,SG글로벌,entry,001380,naver,라벨신규,,
147,2024-07-12,223510203538,진입,에스피시템스,entry,,none,라벨신규(미매핑),매핑 실패(네이버 정확일치 없음 — 상폐·사명변경·오타 추정). v4 규약대로 행은 남긴다 — 버린 것도 산출물이다. usable=False,
148,2024-08-08,223540670058,진입,하이젠알엔엠,entry,,none,라벨신규(미매핑),매핑 실패(네이버 정확일치 없음 — 상폐·사명변경·오타 추정). v4 규약대로 행은 남긴다 — 버린 것도 산출물이다. usable=False,
149,2024-08-16,223549618525,진입,렙지노믹스,entry,084650,alias,라벨신규,,
150,2024-08-20,223554291633,진입,그리드위즈,entry,453450,naver,라벨신규,,
151,2024-08-27,223562367645,진입,태성,entry,323280,naver,라벨신규,,
151,2024-08-27,223562367645,진입,바이넥스,entry,053030,naver,라벨신규,,
153,2026-01-10,224141668871,진입,원익,entry,032940,naver,라벨신규,,
157,2026-04-03,224239715508,진입,신성이엔지,entry,011930,naver,라벨신규,,
