stock_name,final_class,code,current_name,n_labels,years,confidence,evidence,why,note,mech_class,web_class,channels_agree,recoverable_rows
LG헬로지번,A,037560,LG헬로비전,1,2021:1,high(채널 3),동일글오타쌍+문자열+웹:agent2,코드 037560 현재 「LG헬로비전」,,A,A,O,0
LS머티리얼즈,A,417200,LS머트리얼즈,2,2023:2,high(채널 2),문자열+웹:agent1,코드 417200 현재 「LS머트리얼즈」,,A,A,O,0
LS전서아시아,B,229640,LS에코에너지,1,2023:1,mid(웹 단독),웹:agent3,코드 229640 현재 「LS에코에너지」,,C,B,X,1
LS전선아시아,B,229640,LS에코에너지,3,2023:3,mid(웹 단독),웹:agent1,코드 229640 현재 「LS에코에너지」,,C,B,X,3
MP한강,B,219550,디와이디,1,2020:1,mid(웹 단독),웹:agent1,코드 219550 현재 「디와이디」,,C,B,X,0
SCI평가정보,B,036120,서울평가정보,4,2020:2;2022:2,mid(웹 단독),웹:agent1,코드 036120 현재 「서울평가정보」,,C,B,X,2
SG충방,B,001380,SG글로벌,1,2021:1,mid(웹 단독),웹:agent2,코드 001380 현재 「SG글로벌」,,C,?,,0
SK바이오랜드 외 6개,B,052260,현대바이오랜드,1,2019:1,mid(웹 단독),웹:agent3,코드 052260 현재 「현대바이오랜드」,,C,B,X,0
SM Life,B,063440,SM Life Design,1,2020:1,high(채널 2),문자열+웹:agent1,코드 063440 현재 「SM Life Design」,,AB,A,O,0
SV.인베스트먼트,A,289080,SV인베스트먼트,1,2020:1,high(채널 3),동일글오타쌍+문자열+웹:agent2,코드 289080 현재 「SV인베스트먼트」,,A,A,O,0
TCC,A,002710,TCC스틸,1,2023:1,high(채널 3),동일글오타쌍+문자열+웹:agent3,코드 002710 현재 「TCC스틸」,,A,?,,1
WI,D,,,3,2021:3,없음,,어느 채널도 코드를 못 냄 · 접두 후보 1건 · 현재이름 유사 0건,,C,?,,0
YG플러스,B,037270,YG PLUS,1,2023:1,mid(웹 단독),웹:agent1,코드 037270 현재 「YG PLUS」,,C,A,X,1
가온미디어,B,078890,가온그룹,2,2021:2,mid(웹 단독),웹:agent2,코드 078890 현재 「가온그룹」,,C,?,,1
강스템바이오,A,217730,강스템바이오텍,2,2020:1;2021:1,high(채널 2),문자열+웹:agent2,코드 217730 현재 「강스템바이오텍」,,A,A,O,0
갤럭시아너미트리,A,094480,갤럭시아머니트리,1,2022:1,high(채널 3),동일글오타쌍+문자열+웹:agent3,코드 094480 현재 「갤럭시아머니트리」,,A,A,O,1
갤럭이사에스엠,A,011420,갤럭시아에스엠,1,2019:1,high(채널 3),동일글오타쌍+문자열+웹:agent1,코드 011420 현재 「갤럭시아에스엠」,,A,A,O,0
게임빌,B,063080,컴투스홀딩스,2,2021:2,mid(웹 단독),웹:agent3,코드 063080 현재 「컴투스홀딩스」,,C,B,X,2
고려시멘트,B,198440,강동씨앤엘,1,2022:1,mid(웹 단독),웹:agent2,코드 198440 현재 「강동씨앤엘」,,C,?,,1
골든센츄리,C,900280,,2,2021:2,mid(웹 단독),웹:agent1,코드 900280 네이버 미색인 = 현재 미상장,,C,C,O,0
골프존뉴딘홀딩스,B,121440,골프존홀딩스,1,2022:1,mid(웹 단독),웹:agent3,코드 121440 현재 「골프존홀딩스」,,C,?,,1
공구우먼,B,366030,나인앤컴퍼니,1,2022:1,🟡low(문자열 단독),문자열,코드 366030 현재 「나인앤컴퍼니」,,A,,,1
광림,C,014200,,3,2022:3,mid(웹 단독),웹:agent3,코드 014200 네이버 미색인 = 현재 미상장,,C,C,O,0
금호석유,A,011780,금호석유화학,1,2021:1,🟡low(문자열 단독),문자열,코드 011780 현재 「금호석유화학」,,A,,,0
까뮤이엔씨,A,013700,까뮤이앤씨,3,2020:2;2022:1,high(채널 2),문자열+웹:agent1,코드 013700 현재 「까뮤이앤씨」,,A,A,O,1
까뮤이엔이씨,A,013700,까뮤이앤씨,1,2020:1,high(채널 2),문자열+웹:agent1,코드 013700 현재 「까뮤이앤씨」,,A,A,O,0
까스텔바작,B,308100,형지글로벌,2,2021:2,mid(웹 단독),웹:agent2,코드 308100 현재 「형지글로벌」,,C,B,X,0
나라엠엔디,A,051490,나라엠앤디,1,2020:1,high(채널 2),문자열+웹:agent2,코드 051490 현재 「나라엠앤디」,,A,A,O,0
네온테크,B,306620,지아이에스,1,2020:1,mid(웹 단독),웹:agent3,코드 306620 현재 「지아이에스」,,C,B,X,0
넥스턴바이오,B,089140,넥스턴앤롤코리아,4,2021:2;2022:2,mid(웹 단독),웹:agent2,코드 089140 현재 「넥스턴앤롤코리아」,,C,?,,0
넥스트BT,B,065170,비엘팜텍,1,2021:1,mid(웹 단독),웹:agent1,코드 065170 현재 「비엘팜텍」,,C,B,X,1
넥스트사이언스,D,,,1,2021:1,없음,,어느 채널도 코드를 못 냄 · 접두 후보 7건 · 현재이름 유사 0건,,C,,,0
넥슨지티,C,041140,,3,2021:1;2022:2,mid(웹 단독),웹:agent2,코드 041140 네이버 미색인 = 현재 미상장,,C,C,O,0
넷게임즈,B,225570,넥슨게임즈,3,2021:2;2022:1,mid(웹 단독),웹:agent3,코드 225570 현재 「넥슨게임즈」,,C,B,X,3
노터스,B,278650,HLB바이오스텝,5,2021:1;2022:4,mid(웹 단독),웹:agent3,코드 278650 현재 「HLB바이오스텝」,,C,B,X,5
녹십자랩셀,B,144510,지씨셀,2,2020:1;2021:1,mid(웹 단독),웹:agent3,코드 144510 현재 「지씨셀」,,C,B,X,0
녹십자렙셀,B,144510,지씨셀,1,2020:1,mid(웹 단독),웹:agent3,코드 144510 현재 「지씨셀」,,C,B,X,0
뉴파워프리즈마,A,144960,뉴파워프라즈마,1,2019:1,high(채널 2),문자열+웹:agent1,코드 144960 현재 「뉴파워프라즈마」,,A,A,O,0
다믈멀티미디어,D,,,1,2021:1,없음,,어느 채널도 코드를 못 냄 · 접두 후보 0건 · 현재이름 유사 0건,,C,,,0
다올인베스트먼트,C,298870,,2,2022:2,mid(웹 단독),웹:agent1,코드 298870 네이버 미색인 = 현재 미상장,,C,C,O,0
대림B&Co,B,005750,대림바스,1,2021:1,mid(웹 단독),웹:agent3,코드 005750 현재 「대림바스」,,C,B,X,1
대보마그네틱스,A,290670,대보마그네틱,1,2022:1,high(채널 3),동일글오타쌍+문자열+웹:agent1,코드 290670 현재 「대보마그네틱」,,A,A,O,1
대성엘텍,B,025440,DH오토웨어,1,2020:1,mid(웹 단독),웹:agent2,코드 025440 현재 「DH오토웨어」,,C,B,X,0
대성차투,A,027830,대성창투,1,2022:1,high(채널 3),동일글오타쌍+문자열+웹:agent3,코드 027830 현재 「대성창투」,,A,A,O,1
대아이티아이,A,045390,대아티아이,1,2020:1,high(채널 2),문자열+웹:agent1,코드 045390 현재 「대아티아이」,,A,A,O,0
대우부품,D,,,1,2021:1,없음,,어느 채널도 코드를 못 냄 · 접두 후보 10건 · 현재이름 유사 0건,,C,,,0
대유,C,290380,,2,2022:2,mid(웹 단독),웹:agent2,코드 290380 네이버 미색인 = 현재 미상장,,C,C,O,0
대한뉴,A,054670,대한뉴팜,1,2024:1,high(채널 3),동일글오타쌍+문자열+웹:agent3,코드 054670 현재 「대한뉴팜」,,A,A,O,1
덕신하우징,B,090410,덕신이피씨,2,2021:2,mid(웹 단독),웹:agent3,코드 090410 현재 「덕신이피씨」,,C,B,X,2
덕양산업,B,024900,디와이덕양,2,2023:2,mid(웹 단독),웹:agent1,코드 024900 현재 「디와이덕양」,,C,B,X,2
데일리블록체인,C,139050,,1,2019:1,mid(웹 단독),웹:agent1,코드 139050 네이버 미색인 = 현재 미상장,,C,C,O,0
동성화이텍,A,033500,동성화인텍,1,2021:1,high(채널 3),동일글오타쌍+문자열+웹:agent2,코드 033500 현재 「동성화인텍」,,A,A,O,1
동아기업,A,025900,동화기업,1,2021:1,mid(동일글 단독),동일글오타쌍,코드 025900 현재 「동화기업」,,C,?,,0
동아화성,B,041930,SY동아,4,2021:4,mid(웹 단독),웹:agent1,코드 041930 현재 「SY동아」,,C,B,X,2
두산중공업,D,,,1,2021:1,없음,,어느 채널도 코드를 못 냄 · 접두 후보 10건 · 현재이름 유사 0건,,C,,,0
디딤,C,217620,,2,2020:2,mid(웹 단독),웹:agent2,코드 217620 네이버 미색인 = 현재 미상장,,C,B,X,0
디스플레이텍,B,066670,디티씨,3,2021:2;2022:1,mid(웹 단독),웹:agent1,코드 066670 현재 「디티씨」,,C,B,X,3
라이브파이낸셜,B,036170,에이치엠넥스,1,2020:1,mid(웹 단독),웹:agent1,코드 036170 현재 「에이치엠넥스」,,C,B,X,0
라이브플렉스,D,,,1,2019:1,없음,,어느 채널도 코드를 못 냄 · 접두 후보 2건 · 현재이름 유사 0건,,C,,,0
라이프시멘틱스,B,347700,스피어,1,2021:1,mid(웹 단독),웹:agent3,코드 347700 현재 「스피어」,,C,B,X,1
래몽래인,B,200350,아티스트스튜디오,2,2022:1;2024:1,mid(웹 단독),웹:agent3,코드 200350 현재 「아티스트스튜디오」,,C,?,,2
램테크놀로지,A,171010,램테크놀러지,1,2022:1,high(채널 2),문자열+웹:agent1,코드 171010 현재 「램테크놀러지」,,A,A,O,1
레고켐바이오,B,141080,리가켐바이오,1,2024:1,mid(웹 단독),웹:agent2,코드 141080 현재 「리가켐바이오」,,C,B,X,1
레이저셀,A,412350,레이저쎌,1,2022:1,high(채널 2),문자열+웹:agent3,코드 412350 현재 「레이저쎌」,,A,?,,1
레이크머티리얼,A,281740,레이크머티리얼즈,3,2020:1;2023:2,high(채널 2),문자열+웹:agent1,코드 281740 현재 「레이크머티리얼즈」,,A,A,O,2
레인보우틱스,D,,,1,2021:1,없음,,어느 채널도 코드를 못 냄 · 접두 후보 1건 · 현재이름 유사 0건,,C,,,0
레코켐바이오,B,141080,리가켐바이오,1,2024:1,mid(웹 단독),웹:agent1,코드 141080 현재 「리가켐바이오」,,C,A,X,1
루트로닉,D,,,1,2020:1,없음,,어느 채널도 코드를 못 냄 · 접두 후보 1건 · 현재이름 유사 0건,,C,,,0
룽투코리아,C,060240,,2,2022:2,mid(웹 단독),웹:agent2,코드 060240 네이버 미색인 = 현재 미상장,,C,B,X,0
리노스,B,039980,폴라리스AI,1,2020:1,mid(웹 단독),웹:agent3,코드 039980 현재 「폴라리스AI」,,C,?,,0
리더스 기술투자,B,019570,GMI벤처,1,2021:1,mid(웹 단독),웹:agent1,코드 019570 현재 「GMI벤처」,,C,B,X,0
리더스 기슬투자,D,,,1,2021:1,없음,,어느 채널도 코드를 못 냄 · 접두 후보 1건 · 현재이름 유사 0건,,C,A,X,0
링크제네시스,A,219420,링크제니시스,2,2020:1;2021:1,high(채널 2),문자열+웹:agent3,코드 219420 현재 「링크제니시스」,,A,A,O,1
마니커에프엔지,A,195500,마니커에프앤지,1,2024:1,high(채널 2),문자열+웹:agent3,코드 195500 현재 「마니커에프앤지」,,A,A,O,1
마인즈랩,B,377480,마음AI,2,2022:1;2023:1,mid(웹 단독),웹:agent1,코드 377480 현재 「마음AI」,,C,B,X,2
맘스터치,C,220630,,1,2021:1,mid(웹 단독),웹:agent1,코드 220630 네이버 미색인 = 현재 미상장,,C,C,O,0
매디아나,D,,,1,2022:1,없음,,어느 채널도 코드를 못 냄 · 접두 후보 0건 · 현재이름 유사 0건,,C,,,0
맥스트,B,377030,비트맥스,2,2021:1;2022:1,mid(웹 단독),웹:agent2,코드 377030 현재 「비트맥스」,,C,B,X,2
메디온,D,,,1,2023:1,없음,,어느 채널도 코드를 못 냄 · 접두 후보 5건 · 현재이름 유사 0건,,C,,,0
메이슨케피탈,A,021880,메이슨캐피탈,1,2019:1,high(채널 2),문자열+웹:agent3,코드 021880 현재 「메이슨캐피탈」,,A,A,O,0
멕스로텍,D,,,1,2020:1,없음,,어느 채널도 코드를 못 냄 · 접두 후보 0건 · 현재이름 유사 0건,,C,,,0
멕스트,B,377030,비트맥스,1,2022:1,mid(웹 단독),웹:agent1,코드 377030 현재 「비트맥스」,,C,A,X,1
멕아이씨,A,058110,멕아이씨에스,1,2023:1,high(채널 2),동일글오타쌍+문자열,코드 058110 현재 「멕아이씨에스」,,A,,,0
모바일어플라이어스,A,087260,모바일어플라이언스,1,2024:1,high(채널 2),문자열+웹:agent2,코드 087260 현재 「모바일어플라이언스」,,A,A,O,1
모아데이터,A,288980,모아데이타,5,2022:1;2023:3;2024:1,high(채널 2),문자열+웹:agent1,코드 288980 현재 「모아데이타」,,A,A,O,1
미래에셋밴처투자,A,100790,미래에셋벤처투자,1,2021:1,high(채널 3),동일글오타쌍+문자열+웹:agent3,코드 100790 현재 「미래에셋벤처투자」,,A,A,O,1
미코바이오메드,B,214610,롤링스톤,3,2020:1;2022:2,mid(웹 단독),웹:agent2,코드 214610 현재 「롤링스톤」,,C,B,X,0
바닥주,D,,,1,2021:1,없음,,어느 채널도 코드를 못 냄 · 접두 후보 0건 · 현재이름 유사 0건,,C,?,,0
바올,D,,,1,2022:1,없음,,어느 채널도 코드를 못 냄 · 접두 후보 0건 · 현재이름 유사 0건,,C,,,0
바이로그디바이스,B,208710,포톤,1,2021:1,mid(웹 단독),웹:agent3,코드 208710 현재 「포톤」,,C,A,X,0
바이오로그디바이스,B,208710,포톤,1,2021:1,mid(웹 단독),웹:agent1,코드 208710 현재 「포톤」,,C,B,X,0
바이오리더스,B,142760,모아라이프플러스,2,2021:2,mid(웹 단독),웹:agent3,코드 142760 현재 「모아라이프플러스」,"채널간 코드 불일치(099430,142760)",A,B,X,2
바이오톡스,A,086040,바이오톡스텍,1,2020:1,high(채널 2),문자열+웹:agent2,코드 086040 현재 「바이오톡스텍」,,A,A,O,0
백광산업,B,001340,PKC,4,2022:1;2023:3,mid(웹 단독),웹:agent2,코드 001340 현재 「PKC」,,C,?,,4
보광산업,B,225530,HC보광산업,2,2021:1;2022:1,high(채널 2),문자열+웹:agent1,코드 225530 현재 「HC보광산업」,,B,B,O,2
브랜드엑스코퍼레이션,B,337930,젝시믹스,1,2024:1,mid(웹 단독),웹:agent3,코드 337930 현재 「젝시믹스」,,C,?,,1
비올,C,335890,,3,2021:1;2022:1;2023:1,mid(웹 단독),웹:agent3,코드 335890 네이버 미색인 = 현재 미상장,,C,C,O,0
비케이탑스,C,030790,,1,2022:1,mid(웹 단독),웹:agent1,코드 030790 네이버 미색인 = 현재 미상장,,C,C,O,0
비트나인,D,,,1,2022:1,없음,,어느 채널도 코드를 못 냄 · 접두 후보 3건 · 현재이름 유사 0건,,C,,,0
사조씨푸트,A,014710,사조씨푸드,1,2022:1,high(채널 3),동일글오타쌍+문자열+웹:agent3,코드 014710 현재 「사조씨푸드」,,A,A,O,1
삼기이브이,B,419050,삼기에너지솔루션즈,1,2023:1,mid(웹 단독),웹:agent1,코드 419050 현재 「삼기에너지솔루션즈」,,C,B,X,1
삼본전자,D,,,1,2020:1,없음,,어느 채널도 코드를 못 냄 · 접두 후보 0건 · 현재이름 유사 0건,,C,,,0
삼포판지,A,023600,삼보판지,1,2020:1,high(채널 2),동일글오타쌍+웹:agent3,코드 023600 현재 「삼보판지」,,C,A,X,0
서플글로스벌,B,140070,서플러스글로벌,1,2021:1,mid(웹 단독),웹:agent1,코드 140070 현재 「서플러스글로벌」,,C,A,X,1
서플러스그로벌,A,140070,서플러스글로벌,1,2021:1,high(채널 2),동일글오타쌍+문자열,코드 140070 현재 「서플러스글로벌」,,A,A,O,1
세원,B,234100,폴라리스세원,1,2021:1,mid(웹 단독),웹:agent3,코드 234100 현재 「폴라리스세원」,,C,?,,0
세틀뱅크,B,234340,헥토파이낸셜,1,2021:1,mid(웹 단독),웹:agent1,코드 234340 현재 「헥토파이낸셜」,,C,B,X,1
센트랄모텍,B,308170,씨티알모빌리티,2,2020:1;2022:1,mid(웹 단독),웹:agent2,코드 308170 현재 「씨티알모빌리티」,,C,B,X,1
셀렉믹스,A,331920,셀레믹스,1,2020:1,mid(동일글 단독),동일글오타쌍,코드 331920 현재 「셀레믹스」,,C,,,0
셀리버리,C,268600,,1,2020:1,mid(웹 단독),웹:agent3,코드 268600 네이버 미색인 = 현재 미상장,,C,C,O,0
소니드,B,060230,제이케이시냅스,2,2023:2,mid(웹 단독),웹:agent3,코드 060230 현재 「제이케이시냅스」,,C,B,X,0
소룩스,B,290690,아리바이오홀딩스,2,2020:1;2023:1,mid(웹 단독),웹:agent1,코드 290690 현재 「아리바이오홀딩스」,,C,B,X,1
소리바다,C,053110,,1,2021:1,mid(웹 단독),웹:agent1,코드 053110 네이버 미색인 = 현재 미상장,,C,C,O,0
수산중공업,B,017550,수산세보틱스,4,2020:2;2021:1;2022:1,mid(웹 단독),웹:agent3,코드 017550 현재 「수산세보틱스」,,C,B,X,1
슈어소프트,A,298830,슈어소프트테크,2,2023:1;2024:1,high(채널 2),문자열+웹:agent2,코드 298830 현재 「슈어소프트테크」,,A,A,O,1
스톤브릿지,B,330730,스톤브릿지벤처스,1,2023:1,🟡low(문자열 단독),문자열,코드 330730 현재 「스톤브릿지벤처스」,,AB,,,1
신풍제지,B,002870,신풍,3,2020:2;2021:1,mid(웹 단독),웹:agent1,코드 002870 현재 「신풍」,"채널간 코드 불일치(002870,019170)",A,B,X,0
쌍용정보통신,D,,,1,2021:1,없음,,어느 채널도 코드를 못 냄 · 접두 후보 0건 · 현재이름 유사 0건,,C,,,0
쎄미시스코,C,136510,,1,2021:1,mid(웹 단독),웹:agent3,코드 136510 네이버 미색인 = 현재 미상장,,C,B,X,0
씨엠에스에듀,C,225330,,1,2021:1,mid(웹 단독),웹:agent1,코드 225330 네이버 미색인 = 현재 미상장,,C,C,O,0
아스폴로,A,159010,아스플로,1,2021:1,🟡low(문자열 단독),문자열,코드 159010 현재 「아스플로」,,A,,,0
아이엔스,A,099190,아이센스,1,2023:1,high(채널 3),동일글오타쌍+문자열+웹:agent3,코드 099190 현재 「아이센스」,,A,A,O,1
아이원,D,,,1,2022:1,없음,,"동급 후보 2개 경합: 아이윈(090150), 아이진(185490)",,D,,,0
아이티센,B,124500,아이티센글로벌,2,2023:2,mid(웹 단독),웹:agent3,코드 124500 현재 「아이티센글로벌」,"채널간 코드 불일치(010280,124500)",A,B,X,2
아즈텍,A,032080,아즈텍WB,1,2021:1,high(채널 2),동일글오타쌍+문자열,코드 032080 현재 「아즈텍WB」,,A,,,0
아직엑스텍,A,059120,아진엑스텍,1,2023:1,high(채널 2),동일글오타쌍+웹:agent1,코드 059120 현재 「아진엑스텍」,,C,A,X,1
알로이스,B,297570,아틀라스링크,3,2021:1;2022:1;2023:1,mid(웹 단독),웹:agent2,코드 297570 현재 「아틀라스링크」,,C,?,,0
애경케미컬,A,161000,애경케미칼,1,2023:1,🟡low(문자열 단독),문자열,코드 161000 현재 「애경케미칼」,,A,,,1
애머릿지,B,900100,파이온엑스,1,2024:1,mid(웹 단독),웹:agent3,코드 900100 현재 「파이온엑스」,,C,?,,1
애켱케미컬,B,161000,애경케미칼,1,2023:1,mid(웹 단독),웹:agent1,코드 161000 현재 「애경케미칼」,,C,A,X,1
어반리튬,D,,,1,2023:1,없음,,어느 채널도 코드를 못 냄 · 접두 후보 0건 · 현재이름 유사 0건,,C,,,0
에스에이티이엔지,B,351320,넥사다이내믹스,1,2022:1,mid(웹 단독),웹:agent3,코드 351320 현재 「넥사다이내믹스」,"채널간 코드 불일치(060540,351320)",B,?,,0
에스와이패널,B,109610,에스와이,1,2024:1,high(채널 2),문자열+웹:agent1,코드 109610 현재 「에스와이」,,B,B,O,1
에스텍파마,D,,,1,2024:1,없음,,어느 채널도 코드를 못 냄 · 접두 후보 1건 · 현재이름 유사 0건,,C,,,0
에스피시템스,A,317830,에스피시스템스,1,2024:1,🟡low(문자열 단독),문자열,코드 317830 현재 「에스피시스템스」,,A,,,1
에이치엘비,B,028300,HLB,1,2021:1,mid(웹 단독),웹:agent3,코드 028300 현재 「HLB」,,C,?,,1
에이치엘비파워,B,043220,티에스넥스젠,1,2021:1,mid(웹 단독),웹:agent1,코드 043220 현재 「티에스넥스젠」,,C,B,X,0
에이텍티앤,D,,,1,2021:1,없음,,어느 채널도 코드를 못 냄 · 접두 후보 2건 · 현재이름 유사 0건,,C,,,0
에이텍티엔,B,224110,에이텍모빌리티,2,2020:1;2021:1,mid(웹 단독),웹:agent1,코드 224110 현재 「에이텍모빌리티」,,C,B,X,0
에이트원,C,230980,,1,2021:1,mid(웹 단독),웹:agent3,코드 230980 네이버 미색인 = 현재 미상장,,C,C,O,0
에이프로젠 KIC,B,007460,에이프로젠,1,2021:1,mid(웹 단독),웹:agent1,코드 007460 현재 「에이프로젠」,,D,B,X,1
에치에프,A,230240,에치에프알,1,2026:1,high(채널 2),동일글오타쌍+문자열,코드 230240 현재 「에치에프알」,,A,A,O,1
에코바이오,B,038870,에코심플렉스,4,2022:1;2023:3,mid(웹 단독),웹:agent3,코드 038870 현재 「에코심플렉스」,,C,B,X,0
엔브에이치코리아,A,067570,엔브이에이치코리아,1,2021:1,high(채널 3),동일글오타쌍+문자열+웹:agent3,코드 067570 현재 「엔브이에이치코리아」,,A,A,O,1
엔케이물산,B,009810,플레이그램,1,2021:1,mid(웹 단독),웹:agent1,코드 009810 현재 「플레이그램」,,C,B,X,0
예스티팜,A,237690,에스티팜,1,2024:1,high(사람 실측),문자열,"OVERRIDE: 본문 117,400원 = 에스티팜(237690) 당일 저가~고가 안, 예스티는 7.3배 밖",,A,,,1
오성첨산소재,A,052420,오성첨단소재,1,2020:1,high(채널 2),동일글오타쌍+문자열,코드 052420 현재 「오성첨단소재」,,A,B,X,0
오스템임플란드,C,048260,,1,2018:1,mid(웹 단독),웹:agent1,코드 048260 네이버 미색인 = 현재 미상장,,C,A,X,0
오스템임플란트,C,048260,,1,2018:1,mid(웹 단독),웹:agent2,코드 048260 네이버 미색인 = 현재 미상장,,C,C,O,0
오하임아이엔티,B,309930,조이웍스앤코,1,2021:1,mid(웹 단독),웹:agent3,코드 309930 현재 「조이웍스앤코」,,C,?,,0
와이아비오로직스,A,338840,와이바이오로직스,1,2023:1,high(채널 3),동일글오타쌍+문자열+웹:agent1,코드 338840 현재 「와이바이오로직스」,,A,A,O,0
와이제이엠게임즈,B,193250,링크드,2,2021:2,mid(웹 단독),웹:agent2,코드 193250 현재 「링크드」,,C,B,X,0
와이팜,D,,,1,2023:1,없음,,"동급 후보 2개 경합: 와이랩(432430), 와이씨(232140)",,D,,,0
우리손에프엔지,A,073560,우리손에프앤지,1,2022:1,high(채널 2),문자열+웹:agent3,코드 073560 현재 「우리손에프앤지」,,A,A,O,1
웰크로론한텍,A,076080,웰크론한텍,1,2022:1,high(채널 3),동일글오타쌍+문자열+웹:agent1,코드 076080 현재 「웰크론한텍」,,A,A,O,0
위너스제약,A,330350,위더스제약,1,2023:1,mid(동일글 단독),동일글오타쌍,코드 330350 현재 「위더스제약」,,C,A,X,1
유니온커뮤니티,D,,,1,2021:1,없음,,어느 채널도 코드를 못 냄 · 접두 후보 3건 · 현재이름 유사 0건,,C,,,0
유니트론,A,142210,유니트론텍,1,2022:1,high(채널 3),동일글오타쌍+문자열+웹:agent3,코드 142210 현재 「유니트론텍」,,A,A,O,1
유비케어,B,032620,GC메디아이,1,2021:1,mid(웹 단독),웹:agent1,코드 032620 현재 「GC메디아이」,,C,B,X,1
유앤아이,D,,,1,2022:1,없음,,어느 채널도 코드를 못 냄 · 접두 후보 0건 · 현재이름 유사 0건,,C,,,0
윤성에프엔씨,A,372170,윤성에프앤씨,1,2023:1,🟡low(문자열 단독),문자열,코드 372170 현재 「윤성에프앤씨」,,A,,,1
이디티,B,215090,솔디펜스,1,2021:1,mid(웹 단독),웹:agent3,코드 215090 현재 「솔디펜스」,,C,?,,1
이렌텍,A,054210,이랜텍,1,2024:1,mid(동일글 단독),동일글오타쌍,코드 054210 현재 「이랜텍」,,C,?,,1
이루다,D,,,1,2021:1,없음(사람 판단),문자열,OVERRIDE: 이루온(065440)은 별개 회사. 이 이름의 코드를 어느 채널도 대지 못함,,A,,,0
이삭엔지니어랑,A,351330,이삭엔지니어링,1,2024:1,high(채널 3),동일글오타쌍+문자열+웹:agent3,코드 351330 현재 「이삭엔지니어링」,,A,A,O,1
이수페타시,A,007660,이수페타시스,1,2024:1,high(채널 3),동일글오타쌍+문자열+웹:agent1,코드 007660 현재 「이수페타시스」,,A,A,O,1
이엔코퍼레이션,D,,,1,2022:1,없음,,어느 채널도 코드를 못 냄 · 접두 후보 3건 · 현재이름 유사 0건,,C,,,0
이트론,C,096040,,1,2021:1,mid(웹 단독),웹:agent3,코드 096040 네이버 미색인 = 현재 미상장,,C,?,,0
인터파크,B,035080,그래디언트,3,2021:3,mid(웹 단독),웹:agent1,코드 035080 현재 「그래디언트」,,C,B,X,2
인트로메딕,C,150840,,3,2021:3,mid(웹 단독),웹:agent2,코드 150840 네이버 미색인 = 현재 미상장,,C,C,O,0
일진머티리얼즈,B,020150,롯데에너지머티리얼즈,2,2021:2,mid(웹 단독),웹:agent3,코드 020150 현재 「롯데에너지머티리얼즈」,,C,B,X,2
자안,C,221610,,1,2020:1,mid(웹 단독),웹:agent1,코드 221610 네이버 미색인 = 현재 미상장,,C,C,O,0
자이언스텝,A,289220,자이언트스텝,1,2021:1,high(채널 3),동일글오타쌍+문자열+웹:agent2,코드 289220 현재 「자이언트스텝」,,A,A,O,1
장원테크,C,174880,,1,2019:1,mid(웹 단독),웹:agent3,코드 174880 네이버 미색인 = 현재 미상장,,C,?,,0
제넨바이오,C,072520,,1,2019:1,mid(웹 단독),웹:agent1,코드 072520 네이버 미색인 = 현재 미상장,,C,C,O,0
제노포커스,B,187420,HLB제넥스,1,2020:1,mid(웹 단독),웹:agent2,코드 187420 현재 「HLB제넥스」,,C,B,X,0
