stock_name,class,cand_code,cand_name,evidence,n_labels,years,probe_cands,probe_saturated,recoverable_rows
까뮤이엔씨,A,013700,까뮤이앤씨,A-self(저자가 다른 라벨에 올바로 씀(편집거리 1)),3,2020:2;2022:1,1,False,1
까뮤이엔이씨,A,013700,까뮤이앤씨,A-typo2(probe),1,2020:1,1,False,0
까스텔바작,C,,,접두 후보 0건 · 현재이름 유사 0건,2,2021:2,0,False,0
나라엠엔디,A,051490,나라엠앤디,A-self(저자가 다른 라벨에 올바로 씀(편집거리 1)),1,2020:1,1,False,0
네온테크,C,,,접두 후보 0건 · 현재이름 유사 0건,1,2020:1,0,False,0
넥스턴바이오,C,,,접두 후보 7건 · 현재이름 유사 0건,4,2021:2;2022:2,7,False,0
넥스트BT,C,,,접두 후보 3건 · 현재이름 유사 0건,1,2021:1,3,False,0
넥스트사이언스,C,,,접두 후보 7건 · 현재이름 유사 0건,1,2021:1,7,False,0
넥슨지티,C,,,접두 후보 1건 · 현재이름 유사 0건,3,2021:1;2022:2,1,False,0
넷게임즈,C,,,접두 후보 0건 · 현재이름 유사 0건,3,2021:2;2022:1,0,False,0
노터스,C,,,접두 후보 0건 · 현재이름 유사 0건,4,2021:1;2022:3,0,False,0
녹십자랩셀,C,,,접두 후보 5건 · 현재이름 유사 0건,2,2020:1;2021:1,5,False,0
녹십자렙셀,C,,,접두 후보 5건 · 현재이름 유사 0건,1,2020:1,5,False,0
뉴파워프리즈마,A,144960,뉴파워프라즈마,A-self(저자가 다른 라벨에 올바로 씀(편집거리 1)),1,2019:1,1,False,0
다믈멀티미디어,C,,,접두 후보 0건 · 현재이름 유사 0건,1,2021:1,0,False,0
다올인베스트먼트,C,,,접두 후보 1건 · 현재이름 유사 0건,2,2022:2,1,False,0
대림B&Co,C,,,접두 후보 3건 · 현재이름 유사 0건,1,2021:1,3,False,0
대보마그네틱스,A,290670,대보마그네틱,A-self(저자가 다른 라벨에 올바로 씀(편집거리 1)),1,2022:1,1,False,1
대성엘텍,C,,,접두 후보 6건 · 현재이름 유사 0건,1,2020:1,6,False,0
대성차투,A,027830,대성창투,A-self(저자가 다른 라벨에 올바로 씀(편집거리 1)),1,2022:1,1,False,1
대아이티아이,A,045390,대아티아이,A-self(저자가 다른 라벨에 올바로 씀(편집거리 1)),1,2020:1,1,False,0
대우부품,C,,,접두 후보 10건 · 현재이름 유사 0건,1,2021:1,10,True,0
대유,C,,,접두 후보 0건 · 현재이름 유사 0건,2,2022:2,0,False,0
대한뉴,A,054670,대한뉴팜,A-self(저자가 다른 라벨에 올바로 씀(편집거리 1)),1,2024:1,1,False,1
덕신하우징,C,,,접두 후보 1건 · 현재이름 유사 0건,2,2021:2,1,False,0
덕양산업,C,,,접두 후보 1건 · 현재이름 유사 0건,2,2023:2,1,False,0
데일리블록체인,C,,,접두 후보 0건 · 현재이름 유사 0건,1,2019:1,0,False,0
동성화이텍,A,033500,동성화인텍,A-self(저자가 다른 라벨에 올바로 씀(편집거리 1)),1,2021:1,1,False,1
동아기업,C,,,접두 후보 4건 · 현재이름 유사 0건,1,2021:1,4,False,0
동아화성,C,,,접두 후보 4건 · 현재이름 유사 0건,4,2021:4,4,False,0
두산중공업,C,,,접두 후보 10건 · 현재이름 유사 0건,0,,10,True,0
디딤,C,,,접두 후보 0건 · 현재이름 유사 0건,2,2020:2,0,False,0
디스플레이텍,C,,,접두 후보 0건 · 현재이름 유사 0건,3,2021:2;2022:1,0,False,0
라이브파이낸셜,C,,,접두 후보 2건 · 현재이름 유사 0건,1,2020:1,2,False,0
라이브플렉스,C,,,접두 후보 2건 · 현재이름 유사 0건,1,2019:1,2,False,0
라이프시멘틱스,C,,,접두 후보 2건 · 현재이름 유사 0건,1,2021:1,2,False,0
래몽래인,C,,,접두 후보 1건 · 현재이름 유사 0건,2,2022:1;2024:1,1,False,0
램테크놀로지,A,171010,램테크놀러지,A-typo(probe),1,2022:1,1,False,1
레고켐바이오,C,,,접두 후보 1건 · 현재이름 유사 0건,1,2024:1,1,False,0
레이저셀,A,412350,레이저쎌,A-self(저자가 다른 라벨에 올바로 씀(편집거리 1)),1,2022:1,2,False,1
레이크머티리얼,A,281740,레이크머티리얼즈,A-self(저자가 다른 라벨에 올바로 씀(편집거리 1)),2,2020:1;2023:1,1,False,1
레인보우틱스,C,,,접두 후보 1건 · 현재이름 유사 0건,0,,1,False,0
레코켐바이오,C,,,접두 후보 0건 · 현재이름 유사 0건,1,2024:1,0,False,0
루트로닉,C,,,접두 후보 1건 · 현재이름 유사 0건,1,2020:1,1,False,0
룽투코리아,C,,,접두 후보 0건 · 현재이름 유사 0건,2,2022:2,0,False,0
리노스,C,,,접두 후보 1건 · 현재이름 유사 0건,1,2020:1,1,False,0
리더스 기술투자,C,,,접두 후보 1건 · 현재이름 유사 0건,1,2021:1,1,False,0
리더스 기슬투자,C,,,접두 후보 1건 · 현재이름 유사 0건,1,2021:1,1,False,0
링크제네시스,A,219420,링크제니시스,A-self(저자가 다른 라벨에 올바로 씀(편집거리 1)),2,2020:1;2021:1,1,False,1
마니커에프엔지,A,195500,마니커에프앤지,A-typo(census),1,2024:1,1,False,1
마인즈랩,C,,,접두 후보 0건 · 현재이름 유사 0건,2,2022:1;2023:1,0,False,0
맘스터치,C,,,접두 후보 0건 · 현재이름 유사 0건,1,2021:1,0,False,0
매디아나,C,,,접두 후보 0건 · 현재이름 유사 0건,0,,0,False,0
맥스트,C,,,접두 후보 0건 · 현재이름 유사 0건,2,2021:1;2022:1,0,False,0
메디온,C,,,접두 후보 5건 · 현재이름 유사 0건,1,2023:1,5,False,0
메이슨케피탈,A,021880,메이슨캐피탈,A-self(저자가 다른 라벨에 올바로 씀(편집거리 1)),1,2019:1,1,False,0
멕스로텍,C,,,접두 후보 0건 · 현재이름 유사 0건,0,,0,False,0
멕스트,C,,,접두 후보 0건 · 현재이름 유사 0건,1,2022:1,0,False,0
멕아이씨,A,058110,멕아이씨에스,A-abbr(census),0,,1,False,0
모바일어플라이어스,A,087260,모바일어플라이언스,A-self(저자가 다른 라벨에 올바로 씀(편집거리 1)),1,2024:1,1,False,1
모아데이터,A,288980,모아데이타,A-self(저자가 다른 라벨에 올바로 씀(편집거리 1)),5,2022:1;2023:3;2024:1,1,False,1
미래에셋밴처투자,A,100790,미래에셋벤처투자,A-self(저자가 다른 라벨에 올바로 씀(편집거리 1)),1,2021:1,11,True,1
미코바이오메드,C,,,접두 후보 1건 · 현재이름 유사 0건,3,2020:1;2022:2,1,False,0
바닥주,C,,,접두 후보 0건 · 현재이름 유사 0건,1,2021:1,0,False,0
바올,C,,,접두 후보 0건 · 현재이름 유사 0건,1,2022:1,0,False,0
바이로그디바이스,C,,,접두 후보 10건 · 현재이름 유사 0건,1,2021:1,10,True,0
바이오로그디바이스,C,,,접두 후보 12건 · 현재이름 유사 0건,1,2021:1,12,True,0
바이오리더스,A,099430,바이오플러스,A-typo2(localdb),2,2021:2,11,True,0
바이오톡스,A,086040,바이오톡스텍,A-typo(census),1,2020:1,1,False,0
백광산업,C,,,접두 후보 0건 · 현재이름 유사 0건,4,2022:1;2023:3,0,False,0
보광산업,B,225530,HC보광산업,B-pre(census),2,2021:1;2022:1,0,False,2
브랜드엑스코퍼레이션,C,,,접두 후보 0건 · 현재이름 유사 0건,1,2024:1,0,False,0
비올,C,,,접두 후보 0건 · 현재이름 유사 0건,3,2021:1;2022:1;2023:1,0,False,0
비케이탑스,C,,,접두 후보 1건 · 현재이름 유사 0건,1,2022:1,1,False,0
비트나인,C,,,접두 후보 3건 · 현재이름 유사 0건,1,2022:1,3,False,0
사조씨푸트,A,014710,사조씨푸드,A-self(저자가 다른 라벨에 올바로 씀(편집거리 1)),1,2022:1,1,False,1
삼기이브이,C,,,접두 후보 2건 · 현재이름 유사 0건,1,2023:1,2,False,0
삼본전자,C,,,접두 후보 0건 · 현재이름 유사 0건,1,2020:1,0,False,0
삼포판지,C,,,접두 후보 0건 · 현재이름 유사 0건,1,2020:1,0,False,0
서플글로스벌,C,,,접두 후보 1건 · 현재이름 유사 0건,1,2021:1,1,False,0
서플러스그로벌,A,140070,서플러스글로벌,A-self(저자가 다른 라벨에 올바로 씀(편집거리 1)),1,2021:1,1,False,1
세원,C,,,접두 후보 2건 · 현재이름 유사 0건,1,2021:1,2,False,0
세틀뱅크,C,,,접두 후보 0건 · 현재이름 유사 0건,1,2021:1,0,False,0
센트랄모텍,C,,,접두 후보 0건 · 현재이름 유사 0건,2,2020:1;2022:1,0,False,0
셀렉믹스,C,,,접두 후보 0건 · 현재이름 유사 0건,1,2020:1,0,False,0
셀리버리,C,,,접두 후보 1건 · 현재이름 유사 0건,1,2020:1,1,False,0
소니드,C,,,접두 후보 0건 · 현재이름 유사 0건,2,2023:2,0,False,0
소룩스,C,,,접두 후보 0건 · 현재이름 유사 0건,2,2020:1;2023:1,0,False,0
소리바다,C,,,접두 후보 0건 · 현재이름 유사 0건,1,2021:1,0,False,0
수산중공업,C,,,접두 후보 3건 · 현재이름 유사 0건,4,2020:2;2021:1;2022:1,3,False,0
슈어소프트,A,298830,슈어소프트테크,A-abbr(probe),2,2023:1;2024:1,1,False,1
스톤브릿지,AB,330730,스톤브릿지벤처스,AB-abbr(census),0,,1,False,0
신풍제지,A,019170,신풍제약,A-self(저자가 다른 라벨에 올바로 씀(편집거리 1)),3,2020:2;2021:1,2,False,1
쌍용정보통신,C,,,접두 후보 0건 · 현재이름 유사 0건,1,2021:1,0,False,0
쎄미시스코,C,,,접두 후보 0건 · 현재이름 유사 0건,1,2021:1,0,False,0
씨엠에스에듀,C,,,접두 후보 1건 · 현재이름 유사 0건,1,2021:1,1,False,0
아스폴로,A,159010,아스플로,A-typo(probe),1,2021:1,4,False,0
아이엔스,A,099190,아이센스,A-self(저자가 다른 라벨에 올바로 씀(편집거리 1)),1,2023:1,10,True,1
아이원,D,,,"동급 후보 2개 경합: 아이윈(090150), 아이진(185490)",0,,10,True,0
아이티센,A,010280,아이티센엔텍,A-abbr(census),2,2023:2,4,False,2
아즈텍,A,032080,아즈텍WB,A-abbr(probe),0,,1,False,0
아직엑스텍,C,,,접두 후보 0건 · 현재이름 유사 0건,1,2023:1,0,False,0
알로이스,C,,,접두 후보 0건 · 현재이름 유사 0건,3,2021:1;2022:1;2023:1,0,False,0
애경케미컬,A,161000,애경케미칼,A-self(저자가 다른 라벨에 올바로 씀(편집거리 1)),1,2023:1,1,False,1
애머릿지,C,,,접두 후보 0건 · 현재이름 유사 0건,1,2024:1,0,False,0
애켱케미컬,C,,,접두 후보 0건 · 현재이름 유사 0건,1,2023:1,0,False,0
어반리튬,C,,,접두 후보 0건 · 현재이름 유사 0건,1,2023:1,0,False,0
에스에이티이엔지,B,060540,에스에이티,B-trunc(census),1,2022:1,1,False,0
에스와이패널,B,109610,에스와이,B-trunc(census),1,2024:1,2,False,1
에스텍파마,C,,,접두 후보 1건 · 현재이름 유사 0건,1,2024:1,1,False,0
에스피시템스,A,317830,에스피시스템스,A-typo(probe),0,,1,False,0
에이치엘비,C,,,접두 후보 10건 · 현재이름 유사 0건,1,2021:1,10,True,0
에이치엘비파워,C,,,접두 후보 19건 · 현재이름 유사 0건,1,2021:1,19,True,0
에이텍티앤,C,,,접두 후보 2건 · 현재이름 유사 0건,1,2021:1,2,False,0
에이텍티엔,C,,,접두 후보 2건 · 현재이름 유사 0건,2,2020:1;2021:1,2,False,0
에이트원,C,,,접두 후보 10건 · 현재이름 유사 0건,1,2021:1,10,True,0
에이프로젠 KIC,D,,,"동급 후보 2개 경합: 에이프로(262260), 에이프로젠(007460), 에이프로젠(007460), 에이프로젠(007460), 에이프로젠(007460)",1,2021:1,2,False,0
에치에프,A,230240,에치에프알,A-self(저자가 다른 라벨에 올바로 씀(편집거리 1)),1,2026:1,1,False,1
에코바이오,C,,,접두 후보 9건 · 현재이름 유사 0건,3,2022:1;2023:2,9,False,0
엔브에이치코리아,A,067570,엔브이에이치코리아,A-self(저자가 다른 라벨에 올바로 씀(편집거리 1)),1,2021:1,1,False,1
엔케이물산,C,,,접두 후보 2건 · 현재이름 유사 0건,1,2021:1,2,False,0
예스티팜,A,122640,예스티,A-typo(census),1,2024:1,1,False,1
오성첨산소재,A,052420,오성첨단소재,A-self(저자가 다른 라벨에 올바로 씀(편집거리 1)),1,2020:1,1,False,0
오스템임플란드,C,,,접두 후보 1건 · 현재이름 유사 0건,1,2018:1,1,False,0
오스템임플란트,C,,,접두 후보 1건 · 현재이름 유사 0건,1,2018:1,1,False,0
오하임아이엔티,C,,,접두 후보 0건 · 현재이름 유사 0건,1,2021:1,0,False,0
와이아비오로직스,A,338840,와이바이오로직스,A-typo2(probe),1,2023:1,10,True,0
와이제이엠게임즈,C,,,접두 후보 10건 · 현재이름 유사 0건,2,2021:2,10,True,0
와이팜,D,,,"동급 후보 2개 경합: 와이랩(432430), 와이씨(232140)",1,2023:1,10,True,0
우리손에프엔지,A,073560,우리손에프앤지,A-typo(probe),1,2022:1,1,False,1
웰크로론한텍,A,076080,웰크론한텍,A-self(저자가 다른 라벨에 올바로 씀(편집거리 1)),1,2022:1,2,False,0
위너스제약,C,,,접두 후보 1건 · 현재이름 유사 0건,1,2023:1,1,False,0
유니온커뮤니티,C,,,접두 후보 3건 · 현재이름 유사 0건,0,,3,False,0
유니트론,A,142210,유니트론텍,A-self(저자가 다른 라벨에 올바로 씀(편집거리 1)),1,2022:1,1,False,1
유비케어,C,,,접두 후보 4건 · 현재이름 유사 0건,1,2021:1,4,False,0
유앤아이,C,,,접두 후보 0건 · 현재이름 유사 0건,1,2022:1,0,False,0
윤성에프엔씨,A,372170,윤성에프앤씨,A-self(저자가 다른 라벨에 올바로 씀(편집거리 1)),0,,1,False,0
이디티,C,,,접두 후보 0건 · 현재이름 유사 0건,1,2021:1,0,False,0
이렌텍,C,,,접두 후보 0건 · 현재이름 유사 0건,1,2024:1,0,False,0
이루다,A,065440,이루온,A-self(저자가 다른 라벨에 올바로 씀(편집거리 1)),1,2021:1,1,False,0
이삭엔지니어랑,A,351330,이삭엔지니어링,A-self(저자가 다른 라벨에 올바로 씀(편집거리 1)),1,2024:1,1,False,1
이수페타시,A,007660,이수페타시스,A-self(저자가 다른 라벨에 올바로 씀(편집거리 1)),1,2024:1,1,False,1
이엔코퍼레이션,C,,,접두 후보 3건 · 현재이름 유사 0건,1,2022:1,3,False,0
이트론,C,,,접두 후보 0건 · 현재이름 유사 0건,1,2021:1,0,False,0
인터파크,C,,,접두 후보 4건 · 현재이름 유사 0건,3,2021:3,4,False,0
인트로메딕,C,,,접두 후보 1건 · 현재이름 유사 0건,3,2021:3,1,False,0
일진머티리얼즈,C,,,접두 후보 6건 · 현재이름 유사 0건,2,2021:2,6,False,0
자안,C,,,접두 후보 0건 · 현재이름 유사 0건,1,2020:1,0,False,0
자이언스텝,A,289220,자이언트스텝,A-self(저자가 다른 라벨에 올바로 씀(편집거리 1)),1,2021:1,1,False,1
장원테크,C,,,접두 후보 0건 · 현재이름 유사 0건,1,2019:1,0,False,0
제넨바이오,C,,,접두 후보 0건 · 현재이름 유사 0건,1,2019:1,0,False,0
제노포커스,C,,,접두 후보 3건 · 현재이름 유사 0건,1,2020:1,3,False,0
제이엔케이히터,C,,,접두 후보 12건 · 현재이름 유사 0건,1,2021:1,12,True,0
제주맥주,C,,,접두 후보 3건 · 현재이름 유사 0건,0,,3,False,0
제주은헹,A,006220,제주은행,A-self(저자가 다른 라벨에 올바로 씀(편집거리 1)),1,2022:1,1,False,1
젬백스지오,C,,,접두 후보 2건 · 현재이름 유사 0건,2,2021:1;2022:1,2,False,0
줌인터넷,C,,,접두 후보 0건 · 현재이름 유사 0건,5,2020:2;2021:1;2022:1;2023:1,0,False,0
지니뮤직,B,043610,KT지니뮤직,B-pre(census),3,2021:2;2022:1,3,False,3
지엔원에너지,A,119850,지엔씨에너지,A-self(저자가 다른 라벨에 올바로 씀(편집거리 1)),4,2021:2;2023:2,2,False,3
"직전고 돌파, 신고가",C,,,접두 후보 0건 · 현재이름 유사 0건,1,2021:1,0,False,0
진메트릭스,C,,,접두 후보 0건 · 현재이름 유사 0건,1,2020:1,0,False,0
차백신연구소,C,,,접두 후보 0건 · 현재이름 유사 0건,1,2024:1,0,False,0
청담러닝,C,,,접두 후보 1건 · 현재이름 유사 0건,1,2021:1,1,False,0
카나리아바이오,C,,,접두 후보 1건 · 현재이름 유사 0건,2,2022:1;2023:1,1,False,0
컬러에이,A,900310,컬러레이,A-self(저자가 다른 라벨에 올바로 씀(편집거리 1)),1,2020:1,1,False,0
케이알피앤이,C,,,접두 후보 11건 · 현재이름 유사 0건,1,2019:1,11,True,0
켐온,C,,,접두 후보 0건 · 현재이름 유사 0건,3,2021:1;2022:2,0,False,0
코리아센터,C,,,접두 후보 7건 · 현재이름 유사 0건,1,2022:1,7,False,0
코리아에스이,A,123410,코리아에프티,A-typo2(probe),1,2022:1,2,False,1
코어라인소스,A,384470,코어라인소프트,A-typo2(census),1,2023:1,1,False,1
코오롱머티리얼,C,,,접두 후보 8건 · 현재이름 유사 0건,1,2021:1,8,False,0
코오롱플라스틱,C,,,접두 후보 8건 · 현재이름 유사 0건,1,2021:1,8,False,0
코프라,C,,,접두 후보 0건 · 현재이름 유사 0건,2,2021:2,0,False,0
콤텍시스템,C,,,접두 후보 0건 · 현재이름 유사 0건,1,2019:1,0,False,0
클라우드에어,C,,,접두 후보 0건 · 현재이름 유사 0건,1,2021:1,0,False,0
클리노믹스,C,,,접두 후보 1건 · 현재이름 유사 0건,2,2021:1;2023:1,1,False,0
클릭스노믹스,C,,,접두 후보 0건 · 현재이름 유사 0건,1,2023:1,0,False,0
태경케미칼,A,006890,태경케미컬,A-self(저자가 다른 라벨에 올바로 씀(편집거리 1)),2,2020:1;2021:1,1,False,1
태평양물산,C,,,접두 후보 1건 · 현재이름 유사 0건,1,2022:1,1,False,0
티플렉스,A,081150,티플랙스,A-self(저자가 다른 라벨에 올바로 씀(편집거리 1)),4,2021:3;2023:1,1,False,4
펜스타엔터프라이즈,C,,,접두 후보 0건 · 현재이름 유사 0건,1,2021:1,0,False,0
포스코 ICT,C,,,접두 후보 7건 · 현재이름 유사 0건,1,2023:1,7,False,0
퓨닛,C,,,접두 후보 0건 · 현재이름 유사 0건,1,2023:1,0,False,0
퓨처스트림네트웍스,C,,,접두 후보 0건 · 현재이름 유사 0건,1,2020:1,0,False,0
퓨처켐,C,,,접두 후보 0건 · 현재이름 유사 0건,1,2024:1,0,False,0
플로리스AI,C,,,접두 후보 0건 · 현재이름 유사 0건,1,2024:1,0,False,0
피비파마,C,,,접두 후보 0건 · 현재이름 유사 0건,0,,0,False,0
피에이치씨,C,,,접두 후보 1건 · 현재이름 유사 0건,3,2021:1;2022:2,1,False,0
하이젠알엔엠,A,160190,하이젠알앤엠,A-typo(probe),0,,1,False,0
하이트론,B,019490,엑시큐어하이트론,B-pre(census),1,2021:1,4,False,0
하인크코리아,C,,,접두 후보 0건 · 현재이름 유사 0건,2,2022:2,0,False,0
한국비앤씨,A,256840,한국비엔씨,A-self(저자가 다른 라벨에 올바로 씀(편집거리 1)),1,2021:1,2,False,1
한국프랜지,C,,,접두 후보 10건 · 현재이름 유사 0건,1,2021:1,10,True,0
한라,C,,,접두 후보 2건 · 현재이름 유사 0건,1,2021:1,2,False,0
한솔로지틱스,A,009180,한솔로지스틱스,A-typo(probe),2,2021:1;2022:1,1,False,2
한송네오텍,C,,,접두 후보 0건 · 현재이름 유사 0건,2,2021:1;2022:1,0,False,0
해성티피씨,C,,,접두 후보 5건 · 현재이름 유사 0건,1,2022:1,5,False,0
현대에너지솔루션,B,322000,HD현대에너지솔루션,B-pre(census),1,2022:1,13,True,1
현성바이탈,C,,,접두 후보 0건 · 현재이름 유사 0건,1,2019:1,0,False,0
홈센타홀딩스,C,,,접두 후보 0건 · 현재이름 유사 0건,1,2021:1,0,False,0
화성산업,C,,,접두 후보 1건 · 현재이름 유사 0건,1,2021:1,1,False,0
화승알엔에이,A,378850,화승알앤에이,A-self(저자가 다른 라벨에 올바로 씀(편집거리 1)),1,2021:1,1,False,0
효성중고업,A,298040,효성중공업,A-self(저자가 다른 라벨에 올바로 씀(편집거리 1)),1,2021:1,1,False,1
효성첨단소재,B,298050,HS효성첨단소재,B-pre(probe),2,2021:2,6,False,1
휘닉스소재,C,,,접두 후보 0건 · 현재이름 유사 0건,1,2021:1,0,False,0
흥아해훈,A,003280,흥아해운,A-self(저자가 다른 라벨에 올바로 씀(편집거리 1)),1,2023:1,1,False,1
