idx,post_date,logNo,class,name,role,note
34,2021-07-30,222450639243,진입,켐트로스,entry,
36,2021-08-23,222481008123,애매,영화테크,ambiguous,제대로 트레이딩하지 못했습니다
36,2021-08-23,222481008123,애매,인스코비,ambiguous,동상
37,2021-08-27,222485636394,진입,바이오니아,entry,
38,2021-10-19,222541688023,진입,한화투자증권,entry,극소액으로 매수
39,2021-10-19,222541688023,미거래,네오이뮨택,notrade,지켜만 보았는데요
39,2021-10-19,222541688023,미거래,삼진엘앤디,notrade,동상
39,2021-10-19,222541688023,미거래,국보,notrade,동상
40,2021-10-25,222547495119,미거래,두산중공업,order_placed,🟢 J2 — 매수를 걸어두었지만 체결되지 않음. 선별은 완료
41,2021-11-01,222555191027,미거래,위메이드맥스,notrade,신중히 했습니다 = 미거래
42,2021-11-05,222559364890,진입,경남스틸,entry,
43,2021-11-17,222570655002,진입,맥스트,entry,
44,2021-11-23,222576455449,진입,네오크레마,entry,
46,2021-11-25,222578132332,진입,다날,entry,
47,2021-12-09,222590822492,진입,아톤,entry,
48,2021-12-16,222596821585,진입,하이비젼시스템,entry,
49,2021-12-17,222597763003,미거래,넥슨지티,notrade,매매대상에 제외
50,2021-12-20,222599973023,진입,한화투자증권,entry,
52,2022-01-28,222633667340,진입,퍼스텍,entry,
53,2022-02-04,222638760810,진입,로보로보,entry,
53,2022-02-04,222638760810,진입,에브리봇,reference,"「에브리봇을 따라가는 흐름」 — 따라간 대상, 그가 거래한 게 아님"
54,2022-02-10,222643957446,진입,제주맥주,entry,
55,2022-03-23,222680807475,진입,SG&G,entry,
56,2022-03-31,222687837522,애매,네오오토,ambiguous,「공략할 종목들이 어느정도 있었네요」
56,2022-03-31,222687837522,애매,대원전선,ambiguous,동상
57,2022-04-04,222691278838,진입,금양,entry,
58,2022-04-06,222693323543,진입,미투온,entry,일부만 체결 = 진입
58,2022-04-06,222693323543,진입,모나미,entry,
59,2022-04-15,222701492113,진입,일동홀딩스,entry,
59,2022-04-15,222701492113,진입,KG스틸,entry,
61,2022-05-12,222729856778,진입,메이슨캐피탈,entry,
62,2022-05-16,222734548652,진입,태경케미칼,entry,
63,2022-05-19,222738361284,진입,우림피티에스,entry,
64,2022-05-19,222738361284,진입,HLB,entry,
64,2022-05-19,222738361284,진입,한탑,entry,
65,2022-05-27,222748984608,진입,성도이엔지,entry,
65,2022-05-27,222748984608,진입,공구우먼,entry,
66,2022-06-03,222757672127,진입,큐라클,entry,
67,2022-06-22,222784041108,진입,HK이노엔,entry,
68,2022-06-27,222790708465,진입,노터스,entry,
69,2022-07-07,222803197166,미거래,수젠텍,notrade,패스
69,2022-07-07,222803197166,미거래,포바이포,notrade,패스
70,2022-07-15,222812377159,애매,켐온,ambiguous,「매매할 구간이 나와주었네요」 — 구간 서술
71,2022-07-21,222822385718,진입,희림,entry,
72,2022-07-26,222829313069,진입,멕아이씨에스,entry,
72,2022-07-26,222829313069,진입,매디아나,entry,표기 그대로(메디아나 오타 추정)
72,2022-07-26,222829313069,진입,솔본,entry,
73,2022-07-27,222831220825,진입,청담글로벌,entry,
74,2022-07-29,222833510981,미거래,인포바인,notrade,거래를 하지 못했습니다
75,2022-08-01,222836395329,진입,그린케미칼,entry,
76,2022-08-03,222838364846,진입,켐트로스,entry,
77,2022-08-04,222839369800,진입,아이원,entry,
78,2022-08-16,222849665392,진입,금강철강,entry,
80,2022-08-23,222855780492,진입,한일사료,entry,
81,2022-08-25,222857853751,진입,네오위즈,entry,
82,2022-09-15,222875160759,진입,금양,entry,
83,2022-09-16,222876029024,진입,에코플라스틱,entry,
84,2022-10-06,222893234021,진입,오토앤,entry,
85,2022-12-19,222959873229,진입,브이씨,entry,
86,2023-02-06,223006683745,진입,저스템,entry,
87,2023-02-07,223007995835,진입,디어유,entry,
88,2023-02-14,223015162238,진입,어보브반도체,entry,
89,2023-02-17,223018730242,진입,성우하이텍,entry,
90,2023-02-22,223024093900,진입,가온칩스,entry,
91,2023-03-22,223052208175,진입,조일알미늄,entry,
92,2023-03-24,223054455523,진입,한미반도체,entry,
93,2023-03-27,223056566830,진입,레이크머티리얼,entry,표기 그대로(레이크머티리얼즈 축약 추정)
94,2023-03-29,223058651280,진입,후성,entry,
95,2023-03-30,223059969216,진입,제이오,entry,
96,2023-04-03,223063354928,진입,엔켐,entry,
97,2023-04-05,223065444657,미거래,인탑스,notrade,못하였네요
98,2023-04-10,223069929356,진입,원준,entry,
99,2023-04-11,223071130594,진입,주성엔지니어링,entry,
100,2023-04-12,223072134233,진입,윤성에프엔씨,entry,표기 그대로(윤성에프앤씨 오타 추정)
101,2023-04-18,223078010121,진입,윤성에프앤씨,entry,
102,2023-04-20,223080053095,진입,지아이텍,entry,
103,2023-04-24,223083382420,진입,KBG,entry,
104,2023-04-28,223087519492,진입,솔루엠,entry,
105,2023-05-02,223090981216,미거래,현대무백스,notrade,패스하였습니다. 표기 그대로(현대무벡스 오타 추정)
106,2023-05-10,223098212519,진입,코리아에프티,entry,
107,2023-05-19,223106203818,진입,케이엔제이,entry,
108,2023-05-24,223110578843,진입,디와이디,entry,
109,2023-05-25,223111332819,진입,성문전자,entry,
110,2023-05-25,223111332819,진입,에코바이오,entry,
111,2023-05-26,223112305690,진입,아비코전자,entry,
112,2023-06-14,223128646567,진입,대상홀딩스,entry,
113,2023-06-15,223129420528,진입,넥스트칩,entry,
114,2023-06-27,223139858152,진입,티로보틱스,entry,
115,2023-07-04,223146289705,진입,지노믹트리,entry,
116,2023-07-12,223153762770,진입,TCC스틸,entry,
117,2023-07-19,223160395091,진입,퓨런티어,entry,
118,2023-07-21,223162363854,진입,금양,entry,
119,2023-08-02,223172587423,진입,미래컴퍼니,entry,
120,2023-08-23,223191077209,진입,솔브레인홀딩스,entry,
121,2023-08-31,223198495288,진입,포스코DX,entry,
122,2023-09-15,223212269701,진입,에코바이오,entry,
123,2023-09-18,223214686687,진입,대동기어,entry,
124,2023-09-19,223215724209,진입,브이티,entry,
125,2023-10-05,223228834172,진입,신성델타테크,entry,
126,2023-10-16,223238096403,진입,엘컴텍,entry,
127,2023-10-23,223244207485,진입,이글벳,entry,
128,2023-11-07,223257860083,진입,에스티아이,entry,
129,2023-11-28,223276882997,진입,멕아이씨,entry,표기 그대로(멕아이씨에스 축약 추정)
130,2023-12-05,223283346876,진입,위더스제약,entry,
131,2023-12-08,223286485330,진입,유니온,entry,
132,2023-12-15,223293441601,진입,한화솔루션,entry,
133,2023-12-20,223298505272,진입,스톤브릿지,entry,표기 그대로(스톤브릿지벤처스 축약 추정)
134,2024-03-07,223375929808,진입,씨씨에스,entry,
135,2024-03-11,223379690212,진입,화천기계,entry,
138,2024-05-21,223453339660,진입,대한전선,entry,
139,2024-05-22,223454783297,진입,와이씨,entry,
140,2024-05-29,223461983321,진입,지투파워,entry,
141,2024-06-07,223471929435,진입,우양,entry,
141,2024-06-07,223471929435,진입,태성,entry,
142,2024-06-12,223476755407,진입,코오롱글로벌,entry,
143,2024-06-19,223484218538,진입,삼천당제약,entry,
144,2024-06-28,223494091539,진입,대한해운,entry,
145,2024-07-08,223505414276,진입,제룡전기,entry,
146,2024-07-11,223509020088,진입,SG글로벌,entry,
147,2024-07-12,223510203538,진입,에스피시템스,entry,표기 그대로(에스피시스템스 오타 추정)
148,2024-08-08,223540670058,진입,하이젠알엔엠,entry,
149,2024-08-16,223549618525,진입,렙지노믹스,entry,표기 그대로(랩지노믹스 오타) — v3 ALIAS 에 이유가 기록돼 있다
150,2024-08-20,223554291633,진입,그리드위즈,entry,
151,2024-08-27,223562367645,진입,태성,entry,
151,2024-08-27,223562367645,진입,바이넥스,entry,
153,2026-01-10,224141668871,진입,원익,entry,
157,2026-04-03,224239715508,진입,신성이엔지,entry,
